# vectors for reset-during-active test (seed=1)
# fields: act[0..63] wgt[0..63] acc_in exp_acc_out exp_sat (hex)
8a ae 47 a4 8d 7f 6c f3 f5 c7 23 d9 19 f2 2b a7 cd 45 55 da 10 77 59 1b 61 b6 ad 2c ae 48 fd 29 28 8f 76 a1 58 37 4a 2f ea 54 69 bc b5 55 ba 14 da 0e e6 e3 42 c7 4d 57 65 27 c1 42 24 8c 2f 1e 00 00 76 00 00 00 00 63 00 00 00 00 00 93 00 00 00 00 00 00 00 00 00 00 1c 00 00 00 00 00 00 00 00 00 00 00 60 00 00 00 00 00 dd 00 00 00 00 00 00 00 00 00 00 56 00 00 00 86 00 00 00 00 fb 00 00000000 00001843 0
fc 04 03 ff 04 03 fc 02 03 fe 04 fe ff 00 02 03 fc fd fd ff fc fe fc fc 00 fe 04 01 02 fc 04 02 fc ff ff 00 00 00 ff 01 04 fd 02 02 ff fd 03 00 01 fc 03 fd fe fd fd ff fc 01 fe 04 04 04 04 02 01 ff 02 04 fd fc ff 00 fc fe fd fd 03 00 ff 01 04 00 ff ff 00 04 01 fe 03 04 fc fc fc 01 fe 03 00 fe fe fd fc fc fd 04 01 fc ff 01 00 fe 04 fe fe 02 03 fc ff fd ff 02 ff 02 01 fd 02 fc 01 02 7ff100c7 7ff1009f 0
01 04 03 03 04 03 00 00 01 01 00 ff fc 00 fc fd fe 00 02 02 02 fe 00 04 fd 00 00 04 ff fc 03 02 fd fd 00 04 ff fc 00 03 fc 02 00 04 00 00 00 fe 01 03 03 02 ff 01 01 03 fc 02 fe fc 00 03 03 fc e4 00 8f 90 ce ac f8 e1 9f a8 5e dc 7b 96 76 3e f8 01 bf 67 e5 fe 37 68 31 1a d7 20 7b e8 b1 e1 df 3b 9d 6f 46 84 ee 31 06 08 68 a6 a7 79 59 a4 01 db b8 21 c2 a7 db 6e a4 e8 08 a5 5c ad 06 f1 97e9789d 97e97462 0
00 00 00 00 00 00 bc 00 00 00 ac 1f 2e 00 3c 00 ae 00 00 00 00 00 00 00 00 00 00 00 00 00 6d 00 00 00 00 00 00 00 00 00 00 00 00 00 3d 00 ba 00 00 00 00 8f 00 00 81 00 00 00 00 00 00 00 00 00 67 00 e2 00 00 00 00 89 be 00 00 97 00 00 00 db 00 00 00 00 00 00 a1 00 00 00 00 00 00 00 47 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ec 00 b3 00 503c0421 503c15a5 0
00 41 00 00 00 ea 00 00 00 00 00 00 00 00 00 00 bf 00 ea 0e 00 00 12 00 00 bd 00 00 00 00 00 00 00 00 00 00 00 00 7c 00 00 00 00 00 00 00 a5 00 00 d4 00 00 5d 00 00 5d 00 00 00 00 8b 00 00 00 04 01 04 fc fd fc ff 03 fe 02 fe 00 fc 04 01 fe 04 00 04 01 fc 02 04 fe ff fd 00 fe 04 01 fd 02 fc fe 01 fc fd 03 00 02 03 fd fe fc 03 ff fc fe fd fd 03 02 01 fd 02 ff fd fc 02 03 00 02 fe 00 00000000 0000024c 0
04 01 04 ff fd fd 03 ff ff fc fe 00 02 04 ff 01 01 fc 01 ff 04 03 00 fc 04 00 03 03 02 01 02 04 ff fd 01 03 00 fe 02 02 00 fc 02 02 ff fe ff fc 03 01 fe 00 01 03 fe 03 fd 04 01 fc fd 04 02 02 04 fe ff fd 00 02 ff 02 00 04 fd fd 01 fc 01 fd 04 fd 03 01 fe fe 00 fc fd 00 fd fc ff 03 01 04 fe ff fe 00 02 00 03 fd 04 02 03 02 ff fc 03 fd 04 04 03 00 fd 01 fc 04 01 fd 02 04 01 03 04 fe 40f96d0c 40f96d1d 0
ff 03 04 fe 03 fc 01 01 03 00 fe ff fe 00 03 04 04 01 fe 01 01 02 fe fe 00 01 fe fd 02 00 fe 03 01 ff 03 02 fe fd fe 03 00 fe 01 fd fe 00 04 04 ff fe 04 ff 03 fd 00 ff 03 fd ff ff 02 02 01 00 01 00 fc 00 03 fe 00 01 03 04 01 00 03 fd ff 01 00 00 04 01 fe 04 04 fc 03 01 04 fd 02 04 fc fc 00 03 00 02 01 fc fe 04 fe fc 03 00 03 01 00 04 02 01 04 00 04 fe 04 00 00 00 04 02 04 fc 02 01 00000000 0000004e 0
03 fc ff fd 00 ff 03 02 fc 04 03 04 04 fd 04 03 fd 01 fc fe 03 fc 04 03 00 fc fc 03 fe 02 00 fc fc fe fd 03 fe 02 fe 01 03 04 04 04 01 fc 00 ff fe 00 02 02 01 02 03 fc 02 04 02 fc 02 02 04 01 01 ff 01 04 fc 03 00 fd 03 ff fe 03 fc 01 ff fc 00 03 fc fe fd 02 03 03 00 03 03 04 fe fe fc 04 03 ff ff fc ff 03 fd fd ff fd 01 04 04 fd 04 02 00 00 fe 01 00 03 02 ff 02 fd 01 ff ff 03 00 ff 801b4ab4 801b4a91 0
03 ff fe fe ff 03 ff 01 03 03 fd 00 04 fd 01 04 fc fd 02 fe 04 fe 02 fe 03 00 fc 04 fe 04 04 00 04 01 04 fe ff 03 03 fc fd 03 ff 02 04 fd fe ff fc 04 01 fc fc fe 03 fe fd fe 01 02 04 01 fd 02 00 00 e8 db be 00 00 00 be 00 00 00 00 00 00 00 00 00 00 00 00 00 c8 ae 00 4c 00 00 06 00 9f 00 00 00 00 00 85 00 00 00 ad 00 00 00 00 da 00 00 00 af 00 90 44 00 00 00 8f 00 00 00 00 00 00 16 00000000 0000016b 0
00 00 00 29 00 00 00 00 05 00 00 00 00 00 c3 00 00 00 00 00 00 00 00 00 00 e9 00 00 00 00 00 00 00 00 76 00 00 00 00 00 00 00 00 dd 00 00 35 00 00 00 00 00 00 00 00 00 00 00 00 00 bd 00 00 00 80 80 80 00 ff 01 80 00 80 01 7f 7f 01 01 00 7f ff 7f 00 7f 7f 00 80 80 80 01 ff 80 80 01 7f 7f 7f ff 80 80 80 7f 7f ff 00 01 01 ff 00 00 01 01 7f 01 01 ff 7f 00 80 7f 00 80 00 7f ff 7f ff 00 00001812 ffffdb16 0
00 00 80 00 00 00 00 00 15 00 00 00 00 00 00 00 00 ae 00 00 00 b4 00 00 00 00 00 00 00 00 00 00 00 5d 00 00 00 37 00 00 00 00 00 00 00 00 00 59 00 00 00 00 65 00 00 00 00 00 00 83 ec 00 00 9f fc 00 fd 03 02 03 fc fc fe fe 02 04 04 04 ff ff 02 01 00 fe 04 04 fd fe 02 04 ff fd ff 03 04 fc fc 03 03 03 00 fc fe 00 fc ff fe 03 ff fe fd 04 01 00 fc fc 04 fe fe ff 04 fe ff fc fc fd fe 03 8016c42e 8016c856 0
